Reservoir,Site,DateTime,Secchi_m,Flag_DateTime,Flag_Secchi_m
BVR,50,2023-03-21 11:58:00,2.5,0,0
BVR,50,2023-04-24 11:34:00,2.5,0,0
BVR,50,2023-05-01 11:17:00,1.9,0,0
BVR,50,2023-05-08 11:15:00,3.75,0,0
BVR,50,2023-05-22 11:42:00,2.98,0,0
BVR,50,2023-05-29 10:40:00,4,0,0
BVR,50,2023-06-05 12:29:00,3.8,0,0
BVR,50,2023-06-14 11:42:00,3.42,0,0
BVR,50,2023-06-19 10:34:00,4,0,0
BVR,50,2023-06-26 10:01:00,2.95,0,0
BVR,50,2023-07-03 10:22:00,3.35,0,0
BVR,50,2023-07-10 11:12:00,3.55,0,0
BVR,50,2023-07-17 13:17:00,2.9,0,0
BVR,50,2023-07-24 14:13:00,3,0,0
BVR,50,2023-07-31 10:35:00,2.6,0,0
BVR,50,2023-08-07 11:35:00,1.85,0,0
BVR,50,2023-08-14 11:40:00,1.65,0,0
BVR,50,2023-08-22 11:17:00,1.5,0,0
BVR,50,2023-08-29 11:16:00,1.8,0,0
BVR,50,2023-09-05 11:20:00,2.25,0,0
BVR,50,2023-09-12 11:43:00,2.2,0,0
BVR,50,2023-09-18 11:34:00,1.3,0,0
BVR,50,2023-09-26 11:58:00,1.15,0,0
BVR,50,2023-10-03 11:14:00,1.5,0,0
BVR,50,2023-10-09 11:12:00,1.35,0,0
BVR,50,2023-10-17 10:45:00,1.07,0,0
BVR,50,2023-10-24 11:55:00,1.1,0,0
BVR,50,2023-10-31 11:43:00,1.5,0,0
BVR,50,2023-11-06 11:07:00,1.75,0,0
BVR,50,2023-11-14 11:26:00,1.3,0,0
BVR,50,2023-12-04 00:00:00,1.1,0,0
BVR,50,2024-03-05 00:00:00,2.17,0,0
BVR,50,2024-03-18 10:35:00,1.5,0,0
BVR,50,2024-04-01 12:20:00,1.3,0,0
BVR,50,2024-04-15 11:32:00,1.5,0,0
BVR,50,2024-04-29 11:16:00,1.4,0,0
BVR,50,2024-05-06 10:27:00,1.6,0,0
BVR,50,2024-05-13 10:57:00,1.3,0,0
BVR,50,2024-05-20 11:38:00,1.25,0,0
BVR,50,2024-05-27 11:25:00,0.8,0,0
BVR,50,2024-06-03 11:09:00,0.7,0,0
BVR,50,2024-06-10 10:55:00,0.7,0,0
BVR,50,2024-06-17 10:14:00,0.5,0,0
BVR,50,2024-06-24 10:06:00,0.4,0,0
BVR,50,2024-07-01 09:18:00,1,0,0
BVR,50,2024-07-15 09:40:00,1.3,0,0
BVR,50,2024-07-22 09:57:00,1.3,0,0
BVR,50,2024-07-29 10:04:00,1.5,0,0
BVR,50,2024-08-05 09:46:00,0.99,0,0
BVR,50,2024-08-19 09:35:00,1,0,0
BVR,50,2024-08-26 09:48:00,1,0,0
BVR,50,2024-09-02 10:28:00,1,0,0
CCR,50,2023-05-04 14:55:00,2.2,0,0
CCR,50,2023-06-01 10:02:00,3.5,0,0
CCR,50,2023-08-09 13:15:00,3.7,0,0
CCR,50,2024-05-22 10:58:00,4,0,0
CCR,50,2024-06-19 09:25:00,5.4,0,0
CCR,50,2024-07-11 09:35:00,4.65,0,0
CCR,50,2024-08-14 09:15:00,3.5,0,0
FCR,50,2023-02-03 12:54:00,2.8,0,0
FCR,50,2023-04-04 10:51:00,2,0,0
FCR,50,2023-04-18 12:06:00,1.7,0,0
FCR,50,2023-05-08 13:10:00,1.5,0,0
FCR,50,2023-05-16 12:22:00,1.1,0,0
FCR,50,2023-05-22 13:15:00,1.3,0,0
FCR,50,2023-05-29 11:57:00,0.9,0,0
FCR,50,2023-06-05 09:45:00,0.6,0,0
FCR,50,2023-06-19 12:20:00,0.4,0,0
FCR,50,2023-06-26 11:55:00,0.45,0,0
FCR,50,2023-07-03 13:04:00,0.25,0,0
FCR,50,2023-07-10 12:54:00,0.4,0,0
FCR,50,2023-07-17 10:30:00,1.25,0,0
FCR,50,2023-07-24 10:45:00,2.55,0,0
FCR,50,2023-07-31 12:40:00,1.35,0,0
FCR,50,2023-08-07 09:12:00,0.9,0,0
FCR,50,2023-08-14 13:45:00,1.05,0,0
FCR,50,2023-08-22 13:51:00,0.8,0,0
FCR,50,2023-08-29 13:25:00,0.6,0,0
FCR,50,2023-09-05 13:00:00,1,0,0
FCR,50,2023-09-12 13:43:00,1.1,0,0
FCR,50,2023-09-18 13:12:00,1.1,0,0
FCR,50,2023-09-26 15:50:00,1,0,0
FCR,50,2023-10-03 13:20:00,1.6,0,0
FCR,50,2023-10-09 12:44:00,1.7,0,0
FCR,50,2023-10-17 13:45:00,1.6,0,0
FCR,50,2023-10-24 14:00:00,1.4,0,0
FCR,50,2023-10-31 13:11:00,1,0,0
FCR,50,2023-11-06 12:52:00,1.05,0,0
FCR,50,2023-11-14 13:00:00,0.95,0,0
FCR,50,2023-12-04 13:10:00,1.25,0,0
FCR,50,2024-01-29 12:00:00,1.6,1,0
FCR,50,2024-02-13 12:56:00,1.25,0,0
FCR,50,2024-02-27 12:01:00,1.2,0,0
FCR,50,2024-03-05 12:50:00,1.2,0,0
FCR,50,2024-03-18 11:48:00,1.4,0,0
FCR,50,2024-03-25 11:45:00,1.35,0,0
FCR,50,2024-04-01 14:50:00,1.3,0,0
FCR,50,2024-04-15 12:57:00,1.7,0,0
FCR,50,2024-04-22 13:00:00,1.7,0,0
FCR,50,2024-04-29 12:51:00,2.4,0,0
FCR,50,2024-05-13 13:45:00,2,0,0
FCR,50,2024-05-20 13:40:00,1.9,0,0
FCR,50,2024-05-27 14:15:00,2.2,0,0
FCR,50,2024-06-03 11:25:00,2.8,0,0
FCR,50,2024-06-10 11:43:00,1.85,0,0
FCR,50,2024-06-17 13:45:00,1,0,0
FCR,50,2024-06-24 11:00:00,0.7,0,0
FCR,50,2024-07-01 13:02:00,0.4,0,0
FCR,50,2024-07-08 10:20:00,0.6,0,0
FCR,50,2024-07-15 11:30:00,1.2,0,0
FCR,50,2024-07-22 11:16:00,1.7,0,0
FCR,50,2024-07-29 11:15:00,0.55,0,0
FCR,50,2024-08-05 11:01:00,1,0,0
FCR,50,2024-08-12 11:26:00,1.1,0,0
FCR,50,2024-08-19 00:00:00,1.3,0,0
FCR,50,2024-08-26 11:58:00,1.4,0,0
FCR,50,2024-09-02 10:00:00,1.7,0,0
