"Reservoir","Site","DateTime","Depth_m","Temp_C","DO_mgL","DOsat_percent","Cond_uScm","SpCond_uScm","PAR_umolm2s","ORP_mV","pH","Flag_DateTime","Flag_Temp_C","Flag_DO_mgL","Flag_DOsat_percent","Flag_Cond_uScm","Flag_SpCond_uScm","Flag_PAR_umolm2s","Flag_ORP_mV","Flag_pH"
"BVR",50,2023-04-12 11:30:00,0.1,14.7,NA,NA,NA,NA,NA,NA,7.19,0,7,1,1,1,1,1,1,0
"BVR",50,2023-04-12 11:48:00,3,15.3,NA,NA,NA,NA,NA,NA,7.39,0,7,1,1,1,1,1,1,0
"BVR",50,2023-04-12 12:06:00,6,12.6,NA,NA,NA,NA,NA,NA,7.28,0,7,1,1,1,1,1,1,0
"BVR",50,2023-04-12 12:23:00,9,9,NA,NA,NA,NA,NA,NA,6.49,0,7,1,1,1,1,1,1,0
"BVR",50,2023-04-24 10:16:00,0.1,NA,NA,NA,NA,NA,NA,NA,7.3,0,1,1,1,1,1,1,1,0
"BVR",50,2023-04-24 10:30:00,3,NA,NA,NA,NA,NA,NA,NA,7.46,0,1,1,1,1,1,1,1,0
"BVR",50,2023-04-24 10:46:00,6,NA,NA,NA,NA,NA,NA,NA,7.51,0,1,1,1,1,1,1,1,0
"BVR",50,2023-04-24 10:55:00,9,NA,NA,NA,NA,NA,NA,NA,6.99,0,1,1,1,1,1,1,1,0
"BVR",50,2023-05-08 10:44:00,0.1,18.1,NA,NA,NA,NA,NA,NA,6.84,0,7,1,1,1,1,1,1,0
"BVR",50,2023-05-08 11:05:00,3,18.7,NA,NA,NA,NA,NA,NA,6.62,0,7,1,1,1,1,1,1,0
"BVR",50,2023-05-08 11:15:00,6,14.8,NA,NA,NA,NA,NA,NA,6.44,0,7,1,1,1,1,1,1,0
"BVR",50,2023-05-08 11:25:00,9,12.1,NA,NA,NA,NA,NA,NA,6.29,0,7,1,1,1,1,1,1,0
"BVR",50,2023-05-22 10:20:00,0.1,NA,NA,NA,NA,NA,NA,NA,6.57,0,1,1,1,1,1,1,1,0
